date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:17	3983/3983	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/robots.txt		(from )
18:09:17	14663/14663	---MCZ	200	added ('OK')	text/html	etag:W/%22b08c6710df09abe8b047e9a578b5c4ae%22	https://aplicativospypro.vercel.app/	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/index.html	(from )
18:09:17	58512/58512	---M--	200	added ('OK')	font/woff2	etag:%22c47061a6ce9601b5dea8da0c9e847f79%22	https://aplicativospypro.vercel.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	(from https://aplicativospypro.vercel.app/)
18:09:17	58092/58092	---M--	200	added ('OK')	font/woff2	etag:%22c36289c8eb40b089247060459534962c%22	https://aplicativospypro.vercel.app/_next/static/media/5b01f339abf2f1a5.p.woff2	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/media/5b01f339abf2f1a5.p.woff2	(from https://aplicativospypro.vercel.app/)
18:09:18	5454/5454	---M--	200	added ('OK')	image/png	etag:%223f1df1b8b13a25e345d2ed1a62d94352%22	https://aplicativospypro.vercel.app/images/design-mode/Captura%20de%20tela%202025-11-16%20001156.png	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/images/design-mode/Captura%20de%20tela%202025-11-16%20001156.png	(from https://aplicativospypro.vercel.app/)
18:09:18	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/images/design-mode/Imagem%20do%20WhatsApp%20de%202025-08-19%20%c3%a0(s)%2018.18.59_211b6348.jpg.jpeg	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/images/design-mode/Imagem%20do%20WhatsApp%20de%202025-08-19%20%c3%a0(s)%2018.18.59_211b6348.jpg.3.delayed	(from https://aplicativospypro.vercel.app/)
18:09:19	13811/13811	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d2fda636e547adec181c79a58c1fc568%22	https://aplicativospypro.vercel.app/images/design-mode/Imagem%20do%20WhatsApp%20de%202025-08-19%20%c3%a0(s)%2018.18.59_1202729e.jpg.jpeg	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/images/design-mode/Imagem%20do%20WhatsApp%20de%202025-08-19%20%c3%a0(s)%2018.18.59_1202729e.jpg.4.delayed	(from https://aplicativospypro.vercel.app/)
18:09:19	95019/95019	---MCZ	200	added ('OK')	text/css	etag:W/%2293c710f5ef1de80f1f4c8367a2dfbbba%22	https://aplicativospypro.vercel.app/_next/static/css/40c3edc23a27fe7c.css	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/css/40c3edc23a27fe7c.css	(from https://aplicativospypro.vercel.app/)
18:09:19	4046/4046	---MCZ	200	added ('OK')	application/javascript	etag:W/%220199fc947e3c3a0f8ade81353ee6a4c6%22	https://aplicativospypro.vercel.app/_next/static/chunks/webpack-44e133b6860a2cda.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/webpack-44e133b6860a2cda.js	(from https://aplicativospypro.vercel.app/)
18:09:20	172834/172834	---MCZ	200	added ('OK')	application/javascript	etag:W/%22556dd9b4b34d9530b34857c272aaf4eb%22	https://aplicativospypro.vercel.app/_next/static/chunks/fd9d1056-cce117dc4e21e608.js	C:/Meus%20Sites/Spy/aplicativospypro.vercel.app/_next/static/chunks/fd9d1056-cce117dc4e21e608.js	(from https://aplicativospypro.vercel.app/)
